"46"|"2"|"Let&#39;s put an offer on this one"
"35"|"6"|"Who lives there, anyways?"
"40"|"4"|"Let&#39;s put an offer on this one"
"14"|"5"|"What a pit"
"16"|"3"|"Let&#39;s put an offer on this one"
"10"|"5"|"Just okay"
"44"|"5"|"My FOREVER home!!"
"42"|"1"|"Who lives there, anyways?"
"35"|"6"|"Let&#39;s put an offer on this one"
"32"|"2"|"What a pit"
"21"|"4"|"Who lives there, anyways?"
"44"|"2"|"Best one I&#39;ve seen!"
"2"|"1"|"Oh, I like this one."
"37"|"3"|"Best one I&#39;ve seen!"
"46"|"4"|"What a pit"
"16"|"4"|"Who lives there, anyways?"
"6"|"1"|"Best one I&#39;ve seen!"
"44"|"3"|"My FOREVER home!!"
"5"|"3"|"Just okay"
"37"|"3"|"Oh, I like this one."
"34"|"3"|"Just okay"
"20"|"5"|"Let&#39;s put an offer on this one"
"26"|"4"|"Just okay"
"30"|"3"|"Let&#39;s put an offer on this one"
"11"|"5"|"Who lives there, anyways?"
"7"|"1"|"Best one I&#39;ve seen!"
"33"|"6"|"Let&#39;s put an offer on this one"
"23"|"4"|"What a pit"
"32"|"1"|"Best one I&#39;ve seen!"
"31"|"2"|"Who lives there, anyways?"
"22"|"4"|"What a pit"
"23"|"2"|"What a pit"
"38"|"3"|"Who lives there, anyways?"
"8"|"3"|"My FOREVER home!!"
"27"|"1"|"Let&#39;s put an offer on this one"
"38"|"4"|"What a pit"
"50"|"3"|"My FOREVER home!!"
"23"|"1"|"Oh, I like this one."
"23"|"2"|"This is a possibility"
"3"|"3"|"Just okay"
"30"|"6"|"Let&#39;s put an offer on this one"
"33"|"6"|"My FOREVER home!!"
"38"|"4"|"Let&#39;s put an offer on this one"
"42"|"4"|"This is a possibility"
"7"|"5"|"What a pit"
"12"|"4"|"Oh, I like this one."
"43"|"5"|"Let&#39;s put an offer on this one"
"29"|"4"|"Let&#39;s put an offer on this one"
"2"|"2"|"What a pit"
"28"|"2"|"My FOREVER home!!"
"21"|"4"|"My FOREVER home!!"
"5"|"3"|"Oh, I like this one."
"46"|"4"|"This is a possibility"
"45"|"3"|"Oh, I like this one."
"22"|"5"|"This is a possibility"
"17"|"4"|"What a pit"
"5"|"2"|"What a pit"
"10"|"1"|"Best one I&#39;ve seen!"
"18"|"4"|"This is a possibility"
"11"|"5"|"Oh, I like this one."
"40"|"3"|"Just okay"
"50"|"4"|"Just okay"
"21"|"2"|"Oh, I like this one."
"41"|"3"|"Just okay"
"41"|"3"|"Let&#39;s put an offer on this one"
"44"|"6"|"Let&#39;s put an offer on this one"
"48"|"1"|"This is a possibility"
"20"|"4"|"Best one I&#39;ve seen!"
"38"|"3"|"My FOREVER home!!"
"14"|"6"|"Best one I&#39;ve seen!"
"5"|"2"|"Who lives there, anyways?"
"3"|"1"|"My FOREVER home!!"
"8"|"4"|"My FOREVER home!!"
"25"|"1"|"This is a possibility"
"22"|"4"|"What a pit"
"25"|"6"|"Let&#39;s put an offer on this one"
"4"|"1"|"Best one I&#39;ve seen!"
"39"|"2"|"Just okay"
"21"|"2"|"Best one I&#39;ve seen!"
"34"|"3"|"What a pit"
"42"|"1"|"My FOREVER home!!"
"28"|"2"|"Oh, I like this one."
"29"|"5"|"Best one I&#39;ve seen!"
"49"|"4"|"What a pit"
"4"|"5"|"Let&#39;s put an offer on this one"
"30"|"5"|"Let&#39;s put an offer on this one"
"24"|"3"|"Best one I&#39;ve seen!"
"19"|"4"|"Oh, I like this one."
"2"|"2"|"Oh, I like this one."
"13"|"5"|"Oh, I like this one."
"9"|"5"|"Let&#39;s put an offer on this one"
"12"|"6"|"What a pit"
"2"|"1"|"Best one I&#39;ve seen!"
"8"|"6"|"Oh, I like this one."
"37"|"5"|"Let&#39;s put an offer on this one"
"26"|"3"|"My FOREVER home!!"
"11"|"5"|"Let&#39;s put an offer on this one"
"7"|"4"|"Who lives there, anyways?"
"5"|"6"|"This is a possibility"
"42"|"1"|"Who lives there, anyways?"
"28"|"6"|"Just okay"
"22"|"2"|"Oh, I like this one."
"2"|"4"|"Let&#39;s put an offer on this one"
"31"|"5"|"What a pit"
"33"|"2"|"Let&#39;s put an offer on this one"
"19"|"5"|"My FOREVER home!!"
"11"|"4"|"Let&#39;s put an offer on this one"
"3"|"5"|"Who lives there, anyways?"
"22"|"6"|"Oh, I like this one."
"36"|"1"|"This is a possibility"
"22"|"1"|"Let&#39;s put an offer on this one"
"15"|"4"|"My FOREVER home!!"
"10"|"3"|"Best one I&#39;ve seen!"
"44"|"5"|"What a pit"
"19"|"2"|"Let&#39;s put an offer on this one"
"38"|"3"|"Let&#39;s put an offer on this one"
"31"|"2"|"Just okay"
"37"|"1"|"Just okay"
"4"|"5"|"Just okay"
"48"|"6"|"Oh, I like this one."
"24"|"6"|"Just okay"
"32"|"1"|"Let&#39;s put an offer on this one"
"48"|"6"|"Oh, I like this one."
"12"|"3"|"My FOREVER home!!"
"42"|"6"|"Just okay"
"35"|"3"|"Oh, I like this one."
"36"|"1"|"My FOREVER home!!"
"8"|"1"|"What a pit"
"38"|"6"|"This is a possibility"
"49"|"4"|"Let&#39;s put an offer on this one"
"36"|"4"|"Who lives there, anyways?"
"29"|"2"|"This is a possibility"
